service_category,decision_source,auth_volume,policy_match_rate,documentation_complete_rate,avg_decision_hours,auto_decision_rate,avoidable_manual_review_rate,review_volume
Cardiology,Auto Decision,1562,0.734314980793854,0.8104993597951344,5.04583866837388,1.0,0.0,3545
Cardiology,Medical Director,447,0.6957494407158836,0.814317673378076,23.1917225950783,0.0,0.5011185682326622,3545
Cardiology,Nurse Review,934,0.7291220556745182,0.8329764453961456,23.980942184154177,0.0,0.5620985010706638,3545
Cardiology,Pended,404,0.7227722772277227,0.8143564356435643,24.115346534653465,0.0,0.0,3545
GI,Auto Decision,930,0.7064516129032258,0.8064516129032258,5.075376344086022,1.0,0.0,2128
GI,Medical Director,245,0.7224489795918367,0.8244897959183674,25.052244897959184,0.0,0.5346938775510204,2128
GI,Nurse Review,601,0.6905158069883528,0.8352745424292846,23.911480865224625,0.0,0.5241264559068219,2128
GI,Pended,228,0.6929824561403509,0.7894736842105263,23.06578947368421,0.0,0.0,2128
MSK,Auto Decision,1870,0.7240641711229947,0.8283422459893048,4.94144385026738,1.0,0.0,2663
MSK,Medical Director,535,0.719626168224299,0.8299065420560747,25.033644859813084,0.0,0.5644859813084112,2663
MSK,Nurse Review,1211,0.7167630057803468,0.8133773740710157,23.905119735755573,0.0,0.5466556564822461,2663
MSK,Pended,498,0.6907630522088354,0.8072289156626506,23.354417670682732,0.0,0.0,2663
Physical Therapy,Auto Decision,1335,0.7393258426966293,0.8202247191011236,5.055655430711611,1.0,0.0,2150
Physical Therapy,Medical Director,412,0.720873786407767,0.8422330097087378,23.94466019417476,0.0,0.5800970873786407,2150
Physical Therapy,Nurse Review,873,0.7216494845360825,0.8132875143184422,23.987857961053837,0.0,0.5418098510882016,2150
Physical Therapy,Pended,375,0.7333333333333333,0.8,25.977333333333334,0.0,0.0,2150
Radiology,Auto Decision,2030,0.7142857142857143,0.8211822660098522,5.105812807881773,1.0,0.0,3439
Radiology,Medical Director,607,0.7314662273476112,0.8121911037891268,24.69192751235585,0.0,0.5436573311367381,3439
Radiology,Nurse Review,1262,0.7187004754358162,0.8129952456418383,24.102139461172744,0.0,0.5499207606973059,3439
Radiology,Pended,509,0.7229862475442044,0.8388998035363457,23.89842829076621,0.0,0.0,3439
Sleep,Auto Decision,747,0.7295850066934404,0.8366800535475234,4.912182061579652,1.0,0.0,2605
Sleep,Medical Director,216,0.7592592592592593,0.7824074074074074,25.1,0.0,0.5509259259259259,2605
Sleep,Nurse Review,467,0.734475374732334,0.8051391862955032,23.975374732334046,0.0,0.5438972162740899,2605
Sleep,Pended,202,0.6831683168316832,0.8267326732673267,25.623762376237625,0.0,0.0,2605
